name,power,accuracy,type,damage_class,description,pokemon_names
nature-power,,,normal,status,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move.","amaura,amoonguss,aurorus,barbaracle,bayleef,bellsprout,binacle,boldore,bonsly,budew,bulbasaur,bunnelby,cacnea,cacturne,camerupt,carbink,carnivine,celebi,cherrim,cherubi,chesnaught,chespin,chikorita,corsola,cottonee,crawdaunt,crustle,cyndaquil,deerling,diancie,diggersby,dwebble,exeggcute,exeggutor,ferroseed,finneon,floette,florges,foongus,geodude,gigalith,gloom,gogoat,golem,graveler,grotle,grovyle,ivysaur,kabutops,leafeon,leavanny,lilligant,lombre,lotad,ludicolo,magcargo,maractus,mew,nuzleaf,oddish,pansage,paras,parasect,petilil,phantump,quilava,quilladin,roselia,roserade,sawsbuck,sceptile,seedot,serperior,sewaddle,shiftry,simisage,skiddo,slugma,snivy,steelix,sudowoodo,sunflora,swadloon,tangela,tangrowth,torkoal,torterra,treecko,trevenant,tropius,turtwig,typhlosion,venusaur,victreebel,vileplume,virizion,weepinbell,whimsicott,xerneas"
helping-hand,,,normal,status,"Boosts the power of the target's moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome.","abomasnow,aipom,alomomola,altaria,ambipom,ampharos,arcanine,aromatisse,articuno,audino,azelf,azumarill,azurill,bagon,banette,barbaracle,barboach,bayleef,binacle,blastoise,blaziken,blissey,bonsly,braixen,braviary,breloom,bronzong,bronzor,buizel,bulbasaur,buneary,cacnea,cacturne,camerupt,celebi,chansey,charizard,charmander,charmeleon,cherrim,cherubi,chesnaught,chespin,chikorita,chimchar,chimecho,chingling,cinccino,clauncher,clawitzer,clefable,clefairy,cloyster,cobalion,combusken,conkeldurr,cottonee,croagunk,dedenne,deerling,delcatty,delibird,delphox,dewgong,dewott,diancie,diglett,dodrio,doduo,donphan,dragonair,dragonite,dratini,drifblim,drifloon,drilbur,drowzee,ducklett,dunsparce,duosion,durant,dusclops,dusknoir,duskull,eevee,electabuzz,electivire,electrode,elekid,emboar,emolga,empoleon,entei,espeon,espurr,excadrill,exeggcute,exeggutor,fennekin,feraligatr,finneon,flaaffy,flareon,floatzel,floette,florges,flygon,forretress,froakie,frogadier,furfrou,furret,gabite,gallade,galvantula,garchomp,gardevoir,gastrodon,gible,girafarig,glaceon,glalie,gloom,gogoat,golduck,golett,golurk,gothita,gothitelle,gothorita,granbull,greninja,grimer,groudon,grovyle,growlithe,grumpig,gulpin,gurdurr,gyarados,happiny,hariyama,hawlucha,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,honchkrow,hoppip,houndoom,houndour,hydreigon,hypno,igglybuff,illumise,infernape,inkay,ivysaur,jigglypuff,jirachi,jolteon,joltik,jumpluff,jynx,kangaskhan,kirlia,kricketune,krokorok,krookodile,kyogre,kyurem,lapras,larvitar,latias,latios,leafeon,leavanny,lickilicky,lickitung,lilligant,lillipup,linoone,litleo,lopunny,lucario,lugia,lumineon,lunatone,luxio,luxray,machamp,machoke,machop,magmar,magmortar,magnemite,magneton,magnezone,makuhita,malamar,mankey,mantine,mantyke,maractus,mareep,marill,marshtomp,masquerain,mawile,medicham,meditite,mesprit,mew,mewtwo,mienfoo,mienshao,mightyena,milotic,miltank,minccino,misdreavus,mismagius,moltres,monferno,muk,munchlax,munna,musharna,nidoking,nidoqueen,nidorino,ninetales,nosepass,octillery,oddish,oshawott,pachirisu,pancham,pangoro,panpour,pansage,pansear,patrat,pelipper,persian,petilil,phanpy,pichu,pignite,pikachu,pineco,pinsir,piplup,plusle,politoed,poliwag,poliwhirl,poliwrath,poochyena,primeape,prinplup,probopass,pupitar,pyroar,quagsire,quilladin,raichu,raikou,ralts,rayquaza,remoraid,reshiram,reuniclus,rhydon,rhyperior,riolu,rotom,rufflet,salamence,samurott,sandile,sawk,sawsbuck,sceptile,scizor,scrafty,scraggy,scyther,seel,sentret,serperior,seviper,shelgon,shellder,shellos,shinx,shroomish,shuckle,shuppet,simipour,simisage,simisear,skiddo,skiploom,slaking,slakoth,slowbro,slowpoke,slurpuff,smoochum,sneasel,snivy,snorlax,snorunt,snover,snubbull,solosis,solrock,spinda,spiritomb,spoink,spritzee,squirtle,stantler,staraptor,staravia,starly,stoutland,stunky,sudowoodo,suicune,sunflora,surskit,swablu,swalot,swampert,swanna,swirlix,swoobat,sylveon,tauros,teddiursa,tepig,terrakion,throh,togekiss,togepi,togetic,torchic,torkoal,toxicroak,treecko,tropius,typhlosion,tyranitar,tyrogue,umbreon,ursaring,uxie,vaporeon,venusaur,vespiquen,victini,vigoroth,vileplume,virizion,volbeat,voltorb,vulpix,wartortle,watchog,weavile,whimsicott,whiscash,wigglytuff,wingull,woobat,wooper,zangoose,zapdos,zebstrika,zekrom,zigzagoon,zoroark,zorua,zweilous"
ingrain,,,grass,status,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.","abomasnow,amoonguss,bayleef,bellsprout,bulbasaur,cacnea,cacturne,carnivine,chikorita,corsola,cradily,exeggcute,ferroseed,foongus,gloom,ivysaur,lileep,maractus,oddish,petilil,phantump,roselia,roserade,snover,sunflora,tangela,tangrowth,trevenant,venusaur,victreebel,vileplume,weepinbell,xerneas"
knock-off,65,100,dark,physical,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.","abra,absol,accelgor,aipom,alomomola,ambipom,anorith,arbok,archen,archeops,ariados,armaldo,audino,azelf,azumarill,azurill,banette,bayleef,beedrill,bellsprout,bisharp,blaziken,bulbasaur,cacturne,carnivine,carracosta,chesnaught,chimchar,chimecho,chingling,cinccino,clefable,clefairy,cofagrigus,conkeldurr,corphish,cottonee,crawdaunt,croagunk,crustle,cryogonal,cubone,darkrai,dewgong,dewott,diggersby,dodrio,doduo,donphan,drapion,drifblim,drifloon,drowzee,dwebble,eelektrik,eelektross,ekans,electabuzz,electivire,elekid,emboar,emolga,empoleon,escavalier,ferroseed,furret,gallade,gardevoir,gastly,gengar,glameow,gligar,gliscor,goldeen,golduck,golett,golurk,goodra,gurdurr,hariyama,haunter,heracross,hitmonchan,hitmonlee,hypno,infernape,inkay,ivysaur,jigglypuff,kabuto,kabutops,kadabra,karrablast,kecleon,kingler,kirlia,krabby,kricketune,krokorok,krookodile,leafeon,leavanny,ledian,ledyba,lickilicky,lickitung,liepard,lombre,ludicolo,machamp,machoke,machop,magmar,magmortar,makuhita,malamar,mamoswine,mandibuzz,maractus,marill,marowak,mawile,mesprit,metagross,mew,mewtwo,mienfoo,mienshao,minccino,monferno,muk,nuzleaf,omanyte,omastar,oshawott,pancham,pangoro,panpour,pansage,pansear,paras,parasect,pawniard,pelipper,persian,phanpy,pignite,pikachu,pinsir,poliwrath,purrloin,purugly,raichu,ralts,reuniclus,samurott,sandshrew,sandslash,sawk,scizor,scrafty,scraggy,scyther,seaking,sentret,serperior,seviper,shiftry,shuckle,shuppet,simipour,simisage,simisear,skorupi,slaking,sneasel,snivy,spinarak,stunky,swalot,swampert,swanna,swoobat,tangela,tangrowth,tentacool,tentacruel,throh,tirtouga,toxicroak,trevenant,tynamo,tyranitar,uxie,venusaur,victreebel,vigoroth,vullaby,watchog,weavile,weepinbell,whimsicott,wigglytuff,wingull,woobat,yamask,yveltal,zangoose,zoroark,zorua"
secret-power,70,100,normal,physical,"Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
","abomasnow,abra,absol,accelgor,aerodactyl,aggron,aipom,alomomola,altaria,amaura,ambipom,amoonguss,ampharos,anorith,arbok,arcanine,archen,archeops,ariados,armaldo,aromatisse,aron,articuno,audino,aurorus,avalugg,axew,azelf,azumarill,azurill,bagon,baltoy,banette,barbaracle,barboach,bastiodon,bayleef,beautifly,beedrill,beheeyem,bellsprout,bergmite,bibarel,bidoof,binacle,bisharp,blastoise,blaziken,blissey,boldore,bonsly,bouffalant,braixen,braviary,breloom,bronzong,bronzor,budew,buizel,bulbasaur,buneary,bunnelby,butterfree,cacnea,cacturne,camerupt,carbink,carnivine,carracosta,carvanha,castform,celebi,chandelure,chansey,charizard,charmander,charmeleon,chatot,cherrim,cherubi,chesnaught,chespin,chikorita,chimchar,chimecho,chinchou,chingling,cinccino,clamperl,clauncher,clawitzer,claydol,clefable,clefairy,cloyster,cobalion,cofagrigus,combusken,conkeldurr,corphish,corsola,cottonee,cradily,cranidos,crawdaunt,croagunk,crobat,croconaw,crustle,cryogonal,cubchoo,cubone,cyndaquil,darkrai,darumaka,dedenne,deerling,deino,delcatty,delibird,delphox,dewgong,dewott,diancie,diggersby,diglett,dodrio,doduo,donphan,doublade,dragalge,dragonair,dragonite,drapion,dratini,drifblim,drifloon,drilbur,drowzee,druddigon,ducklett,dugtrio,dunsparce,duosion,durant,dusclops,dusknoir,duskull,dustox,dwebble,eelektrik,eelektross,eevee,ekans,electabuzz,electivire,electrike,electrode,elekid,elgyem,emboar,emolga,empoleon,entei,escavalier,espeon,espurr,excadrill,exeggcute,exeggutor,exploud,fearow,feebas,fennekin,feraligatr,ferroseed,finneon,flaaffy,flareon,fletchinder,fletchling,floatzel,floette,florges,flygon,foongus,forretress,fraxure,frillish,froakie,frogadier,furfrou,furret,gabite,gallade,galvantula,garbodor,garchomp,gardevoir,gastly,gastrodon,genesect,gengar,geodude,gible,gigalith,girafarig,glaceon,glalie,glameow,gligar,gliscor,gloom,gogoat,golbat,goldeen,golduck,golem,golett,golurk,goodra,goomy,gorebyss,gothita,gothitelle,gothorita,granbull,graveler,greninja,grimer,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gurdurr,gyarados,happiny,hariyama,haunter,hawlucha,haxorus,heliolisk,helioptile,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,honchkrow,honedge,hoothoot,hoppip,horsea,houndoom,houndour,huntail,hydreigon,hypno,igglybuff,illumise,infernape,inkay,ivysaur,jellicent,jigglypuff,jirachi,jolteon,joltik,jumpluff,jynx,kabuto,kabutops,kadabra,kangaskhan,karrablast,kecleon,kingdra,kingler,kirlia,klang,klefki,klink,klinklang,koffing,krabby,kricketune,krokorok,krookodile,kyogre,kyurem,lairon,lampent,lanturn,lapras,larvitar,latias,latios,leafeon,leavanny,ledian,ledyba,lickilicky,lickitung,liepard,lileep,lilligant,lillipup,linoone,litleo,litwick,lombre,lopunny,lotad,loudred,lucario,ludicolo,lugia,lumineon,lunatone,luvdisc,luxio,luxray,machamp,machoke,machop,magcargo,magmar,magmortar,magnemite,magneton,magnezone,makuhita,malamar,mamoswine,mandibuzz,manectric,mankey,mantine,mantyke,maractus,mareep,marill,marowak,marshtomp,masquerain,mawile,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,mienfoo,mienshao,mightyena,milotic,miltank,minccino,misdreavus,mismagius,moltres,monferno,mothim,mudkip,muk,munchlax,munna,murkrow,musharna,nidoking,nidoqueen,nidorino,nincada,ninetales,ninjask,noctowl,noibat,noivern,nosepass,nuzleaf,octillery,oddish,omanyte,omastar,oshawott,pachirisu,palpitoad,pancham,pangoro,panpour,pansage,pansear,paras,parasect,patrat,pawniard,pelipper,persian,petilil,phanpy,phantump,pichu,pidgeot,pidgeotto,pidgey,pidove,pignite,pikachu,piloswine,pineco,pinsir,piplup,plusle,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,porygon,porygon-z,porygon2,primeape,prinplup,probopass,pupitar,purrloin,purugly,pyroar,quagsire,quilava,quilladin,qwilfish,raichu,raikou,ralts,rampardos,rapidash,raticate,rattata,rayquaza,regice,regirock,registeel,remoraid,reshiram,reuniclus,rhydon,rhyhorn,rhyperior,riolu,roselia,roserade,rotom,rufflet,salamence,samurott,sandile,sandshrew,sandslash,sawk,sawsbuck,sceptile,scizor,scolipede,scrafty,scraggy,scyther,seadra,seaking,sealeo,seedot,seel,sentret,serperior,seviper,sewaddle,sharpedo,shedinja,shelgon,shellder,shellos,shelmet,shieldon,shiftry,shinx,shroomish,shuckle,shuppet,sigilyph,simipour,simisage,simisear,skarmory,skiddo,skiploom,skorupi,skrelp,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,slugma,slurpuff,smoochum,sneasel,snivy,snorlax,snorunt,snover,snubbull,solosis,solrock,spheal,spinarak,spinda,spiritomb,spoink,spritzee,squirtle,stantler,staraptor,staravia,starly,starmie,staryu,steelix,stoutland,stunfisk,stunky,sudowoodo,suicune,sunflora,surskit,swablu,swadloon,swalot,swampert,swanna,swellow,swinub,swirlix,swoobat,sylveon,taillow,talonflame,tangela,tangrowth,tauros,teddiursa,tentacool,tentacruel,tepig,terrakion,throh,tirtouga,togekiss,togepi,togetic,torchic,torkoal,torterra,totodile,toxicroak,tranquill,trapinch,treecko,trevenant,tropius,trubbish,turtwig,tympole,typhlosion,tyranitar,tyrantrum,tyrogue,tyrunt,umbreon,unfezant,ursaring,uxie,vanillish,vanillite,vanilluxe,vaporeon,venipede,venomoth,venonat,venusaur,vespiquen,vibrava,victini,victreebel,vigoroth,vileplume,virizion,vivillon,volbeat,volcanion,volcarona,voltorb,vullaby,vulpix,wailmer,wailord,wartortle,watchog,weavile,weepinbell,weezing,whimsicott,whirlipede,whiscash,whismur,wigglytuff,wingull,woobat,wooper,xatu,xerneas,yamask,yanma,yanmega,yveltal,zangoose,zapdos,zebstrika,zekrom,zigzagoon,zoroark,zorua,zubat,zweilous"
weather-ball,50,100,normal,special,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.","abomasnow,altaria,amaura,articuno,aurorus,bellsprout,blastoise,bronzong,budew,bulbasaur,castform,celebi,charizard,charmander,charmeleon,cherrim,cherubi,clauncher,clawitzer,cloyster,delibird,dewgong,dragonair,dragonite,drifblim,drifloon,eevee,electivire,empoleon,entei,espeon,flareon,gastrodon,gigalith,glaceon,glalie,goodra,greninja,heliolisk,hippopotas,hippowdon,ho-oh,horsea,ivysaur,jolteon,kingdra,kyurem,lapras,latias,latios,leafeon,lilligant,lombre,lotad,ludicolo,lugia,lunatone,magmortar,maractus,masquerain,mew,mewtwo,milotic,moltres,ninetales,nuzleaf,palpitoad,pelipper,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,raikou,reshiram,roselia,roserade,seadra,seel,shiftry,slowbro,slowking,slowpoke,snorunt,snover,solrock,squirtle,suicune,sunflora,swampert,swanna,sylveon,tentacruel,torkoal,tympole,umbreon,vanilluxe,vaporeon,venusaur,victreebel,vileplume,vivillon,volcanion,vulpix,wailmer,wailord,wartortle,weepinbell,whiscash,zapdos,zekrom"
grass-whistle,,55,grass,status,Puts the target to sleep.,"abomasnow,budew,bulbasaur,cacnea,carnivine,cherubi,chikorita,cottonee,deerling,leafeon,maractus,pansage,petilil,roselia,snover,sunflora,swadloon,treecko"
bullet-seed,25,100,grass,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.","abomasnow,amoonguss,bayleef,bellsprout,breloom,budew,bulbasaur,cacnea,cacturne,carnivine,cherrim,cherubi,chesnaught,chespin,chikorita,cinccino,cradily,deerling,exeggcute,exeggutor,ferroseed,foongus,gloom,gogoat,grotle,grovyle,gulpin,heracross,hoppip,ivysaur,jumpluff,leafeon,leavanny,lileep,lilligant,lombre,lotad,ludicolo,mantine,maractus,mew,minccino,nuzleaf,octillery,oddish,pansage,paras,parasect,patrat,petilil,quilladin,remoraid,roselia,roserade,sawsbuck,sceptile,seedot,serperior,shiftry,shroomish,skiddo,skiploom,snivy,snover,sunflora,swalot,tangela,tangrowth,torterra,treecko,tropius,turtwig,venusaur,victreebel,vileplume,virizion,weepinbell"
magical-leaf,60,,grass,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,"abomasnow,amoonguss,bayleef,bellsprout,breloom,bulbasaur,cacnea,cacturne,carnivine,celebi,cherrim,cherubi,chesnaught,chespin,chikorita,clefable,clefairy,deerling,espeon,exeggutor,floette,florges,foongus,gallade,gardevoir,gloom,gogoat,grotle,grovyle,hoppip,ivysaur,jigglypuff,jumpluff,kirlia,leafeon,leavanny,lilligant,lombre,lotad,ludicolo,mew,misdreavus,mismagius,nuzleaf,oddish,pansage,petilil,phantump,quilladin,ralts,roselia,roserade,sawsbuck,sceptile,seedot,serperior,sewaddle,shiftry,shroomish,skiddo,skiploom,snivy,snover,sunflora,swadloon,sylveon,togekiss,togetic,torterra,treecko,trevenant,tropius,turtwig,venusaur,victreebel,vileplume,virizion,weepinbell,wigglytuff"
natural-gift,,100,normal,physical,"Inflicts regular damage.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail.","abomasnow,abra,absol,aerodactyl,aggron,aipom,altaria,ambipom,ampharos,anorith,arbok,arcanine,ariados,armaldo,aron,articuno,azelf,azumarill,azurill,bagon,baltoy,banette,barboach,bastiodon,bayleef,beautifly,beedrill,bellsprout,bibarel,bidoof,blastoise,blaziken,blissey,bonsly,breloom,bronzong,bronzor,budew,buizel,bulbasaur,buneary,butterfree,cacnea,cacturne,camerupt,carnivine,carvanha,castform,celebi,chansey,charizard,charmander,charmeleon,chatot,cherrim,cherubi,chikorita,chimchar,chimecho,chinchou,chingling,clamperl,claydol,clefable,clefairy,cloyster,combusken,corphish,corsola,cottonee,cradily,cranidos,crawdaunt,croagunk,crobat,croconaw,cubone,cyndaquil,darkrai,dedenne,deerling,delcatty,delibird,dewgong,diglett,dodrio,doduo,donphan,dragonair,dragonite,drapion,dratini,drifblim,drifloon,drowzee,dugtrio,dunsparce,dusclops,dusknoir,duskull,dustox,eevee,ekans,electabuzz,electivire,electrike,electrode,elekid,empoleon,entei,espeon,exeggcute,exeggutor,exploud,fearow,feebas,feraligatr,finneon,flaaffy,flareon,fletchinder,fletchling,floatzel,flygon,forretress,furret,gabite,gallade,garchomp,gardevoir,gastly,gastrodon,gengar,geodude,gible,girafarig,glaceon,glalie,glameow,gligar,gliscor,gloom,golbat,goldeen,golduck,golem,gorebyss,granbull,graveler,grimer,grotle,groudon,grovyle,growlithe,grumpig,gulpin,gyarados,happiny,hariyama,haunter,heracross,hippopotas,hippowdon,hitmonchan,hitmonlee,hitmontop,ho-oh,honchkrow,hoothoot,hoppip,horsea,houndoom,houndour,huntail,hypno,igglybuff,illumise,infernape,ivysaur,jigglypuff,jirachi,jolteon,jumpluff,jynx,kabuto,kabutops,kadabra,kangaskhan,kecleon,kingdra,kingler,kirlia,koffing,krabby,kricketune,kyogre,lairon,lanturn,lapras,larvitar,latias,latios,leafeon,ledian,ledyba,lickilicky,lickitung,lileep,linoone,lombre,lopunny,lotad,loudred,lucario,ludicolo,lugia,lumineon,lunatone,luvdisc,luxio,luxray,machamp,machoke,machop,magcargo,magmar,magmortar,magnemite,magneton,magnezone,makuhita,mamoswine,manectric,mankey,mantine,mantyke,mareep,marill,marowak,marshtomp,masquerain,mawile,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,mightyena,milotic,miltank,misdreavus,mismagius,moltres,monferno,mothim,mudkip,muk,munchlax,murkrow,nidoking,nidoqueen,nidorino,nincada,ninetales,ninjask,noctowl,nosepass,nuzleaf,octillery,oddish,omanyte,omastar,pachirisu,panpour,pansage,pansear,paras,parasect,pelipper,persian,petilil,phanpy,pichu,pidgeot,pidgeotto,pidgey,pikachu,piloswine,pineco,pinsir,piplup,plusle,politoed,poliwag,poliwhirl,poliwrath,ponyta,poochyena,porygon,porygon-z,porygon2,primeape,prinplup,probopass,pupitar,purugly,quagsire,quilava,qwilfish,raichu,raikou,ralts,rampardos,rapidash,raticate,rattata,rayquaza,regice,regirock,registeel,remoraid,rhydon,rhyhorn,rhyperior,riolu,roselia,roserade,rotom,salamence,sandshrew,sandslash,sceptile,scizor,scyther,seadra,seaking,sealeo,seedot,seel,sentret,seviper,sharpedo,shedinja,shelgon,shellder,shellos,shieldon,shiftry,shinx,shroomish,shuckle,shuppet,skarmory,skiploom,skorupi,slaking,slakoth,slowbro,slowking,slowpoke,slugma,smoochum,sneasel,snivy,snorlax,snorunt,snover,snubbull,solrock,spheal,spinarak,spinda,spiritomb,spoink,squirtle,stantler,staraptor,staravia,starly,starmie,staryu,steelix,stunky,sudowoodo,suicune,sunflora,surskit,swablu,swalot,swampert,swellow,swinub,taillow,talonflame,tangela,tangrowth,tauros,teddiursa,tentacool,tentacruel,togekiss,togepi,togetic,torchic,torkoal,torterra,totodile,toxicroak,trapinch,treecko,tropius,turtwig,typhlosion,tyranitar,tyrogue,umbreon,ursaring,uxie,vanillite,vaporeon,venomoth,venonat,venusaur,vespiquen,vibrava,victreebel,vigoroth,vileplume,volbeat,voltorb,vulpix,wailmer,wailord,wartortle,weavile,weepinbell,weezing,whiscash,whismur,wigglytuff,wingull,wooper,xatu,yanma,yanmega,zangoose,zapdos,zigzagoon,zubat"
worry-seed,,100,grass,status,"Changes the target's ability to insomnia.

If the target's ability is truant or multitype, this move will fail.","abomasnow,amoonguss,bayleef,bellsprout,breloom,budew,bulbasaur,cacnea,cacturne,carnivine,celebi,cherrim,cherubi,chesnaught,chespin,chikorita,cottonee,cradily,deerling,exeggcute,exeggutor,ferroseed,floette,florges,foongus,gloom,gogoat,golduck,grotle,grovyle,hoppip,ivysaur,jumpluff,leafeon,leavanny,lileep,lilligant,maractus,mew,munna,musharna,nuzleaf,oddish,pansage,paras,parasect,petilil,phantump,quilladin,roselia,roserade,sawsbuck,sceptile,seedot,serperior,sewaddle,shiftry,shroomish,simisage,skiddo,skiploom,snivy,snover,sunflora,swadloon,tangela,tangrowth,torterra,treecko,trevenant,tropius,turtwig,venusaur,victreebel,vileplume,virizion,weepinbell,whimsicott"
seed-bomb,80,100,grass,physical,Inflicts regular damage.,"abomasnow,aipom,ambipom,amoonguss,arbok,bayleef,bellsprout,breloom,budew,bulbasaur,cacnea,cacturne,carnivine,celebi,cherrim,cherubi,chesnaught,chespin,chikorita,cinccino,cottonee,cradily,dedenne,deerling,delibird,donphan,ekans,exeggcute,exeggutor,ferroseed,floette,florges,foongus,forretress,furret,garbodor,gloom,gogoat,grotle,grovyle,grumpig,gulpin,hoppip,ivysaur,jumpluff,leafeon,leavanny,liepard,lileep,lilligant,linoone,lombre,lotad,ludicolo,mankey,mantine,maractus,mew,minccino,munchlax,nuzleaf,octillery,oddish,pachirisu,pansage,paras,parasect,patrat,pelipper,persian,petilil,phanpy,phantump,pineco,primeape,purrloin,quilladin,remoraid,roselia,roserade,sawsbuck,sceptile,seedot,sentret,serperior,seviper,sewaddle,shiftry,shroomish,simisage,skiddo,skiploom,slaking,slakoth,snivy,snorlax,snover,sunflora,swadloon,swalot,tangela,tangrowth,teddiursa,torterra,treecko,trevenant,tropius,trubbish,turtwig,ursaring,venusaur,victreebel,vigoroth,vileplume,virizion,watchog,weepinbell,whimsicott,zangoose,zigzagoon"
energy-ball,90,100,grass,special,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,"abomasnow,abra,accelgor,amoonguss,aromatisse,azelf,bayleef,beautifly,beheeyem,bellsprout,breloom,budew,bulbasaur,butterfree,cacnea,cacturne,carnivine,castform,celebi,chandelure,cherrim,cherubi,chesnaught,chespin,chikorita,chimecho,chingling,cofagrigus,cottonee,cradily,deerling,duosion,durant,dustox,elgyem,emolga,escavalier,espurr,exeggcute,exeggutor,ferroseed,floette,florges,foongus,frillish,gallade,galvantula,gardevoir,gastly,genesect,gengar,girafarig,gloom,gogoat,gothita,gothitelle,gothorita,grotle,grovyle,grumpig,haunter,hoppip,ivysaur,jellicent,jigglypuff,jirachi,joltik,jumpluff,jynx,kadabra,karrablast,lampent,latias,latios,leafeon,leavanny,lileep,lilligant,litwick,lombre,lotad,ludicolo,maractus,masquerain,medicham,mesprit,mew,mewtwo,misdreavus,mismagius,mothim,munna,musharna,ninetales,nuzleaf,octillery,oddish,pansage,paras,parasect,petilil,phantump,quilladin,rayquaza,reuniclus,roselia,roserade,sawsbuck,sceptile,seedot,serperior,sewaddle,shelmet,shiftry,shroomish,sigilyph,simisage,skiddo,skiploom,slurpuff,snivy,snover,solosis,spritzee,stantler,sunflora,swadloon,swirlix,swoobat,tangela,tangrowth,torterra,treecko,trevenant,tropius,turtwig,uxie,venomoth,venonat,venusaur,victini,victreebel,vileplume,virizion,vivillon,vulpix,weepinbell,whimsicott,wigglytuff,woobat,yamask"
leaf-storm,130,90,grass,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages.","abomasnow,amoonguss,bayleef,bellsprout,breloom,budew,bulbasaur,cacnea,cacturne,celebi,chesnaught,chespin,chikorita,deerling,exeggcute,exeggutor,foongus,gloom,gogoat,grotle,grovyle,hoppip,ivysaur,jumpluff,leafeon,leavanny,lilligant,ludicolo,maractus,mew,nuzleaf,oddish,pansage,petilil,quilladin,roselia,roserade,sawsbuck,sceptile,seedot,serperior,shiftry,skiddo,skiploom,snivy,snover,sunflora,tangela,tangrowth,torterra,treecko,trevenant,tropius,turtwig,venusaur,victreebel,vileplume,virizion,weepinbell"
power-whip,120,85,grass,physical,Inflicts regular damage.,"bellsprout,bulbasaur,carnivine,cradily,exeggutor,goodra,gyarados,ivysaur,lickilicky,lickitung,mew,palpitoad,roselia,roserade,tangela,tangrowth,venusaur,victreebel,weepinbell"
